GENE_symbol	DRUG_name	DRUG_type
GABRE	Prazepam	approvedillicit
GABRR3	Prazepam	approvedillicit
GABRD	Prazepam	approvedillicit
GABRA1	Prazepam	approvedillicit
GABRA2	Prazepam	approvedillicit
GABRG1	Prazepam	approvedillicit
GABRR1	Prazepam	approvedillicit
GABRB2	Prazepam	approvedillicit
GABRA3	Prazepam	approvedillicit
GABRB1	Prazepam	approvedillicit
GABRA5	Prazepam	approvedillicit
GABRG3	Prazepam	approvedillicit
GABRA4	Prazepam	approvedillicit
GABRA1	Prazepam	approvedillicit
GABRG3	Prazepam	approvedillicit
GABRG1	Quazepam	approvedillicit
GABRG2	Quazepam	approvedillicit
GABRB3	Quazepam	approvedillicit
GABRG3	Quazepam	approvedillicit
GABRA5	Quazepam	approvedillicit
GABRR1	Quazepam	approvedillicit
GABRG2	Quazepam	approvedillicit
GABRA1	Quazepam	approvedillicit
GABRE	Quazepam	approvedillicit
GABRB2	Quazepam	approvedillicit
GABRP	Quazepam	approvedillicit
GABRA3	Quazepam	approvedillicit
GABRB3	Quazepam	approvedillicit
GABRE	Quazepam	approvedillicit
GABRA2	Quazepam	approvedillicit
GABRD	Quazepam	approvedillicit
GABRB1	Quazepam	approvedillicit
GABRA5	Quazepam	approvedillicit
GABRA2	Quazepam	approvedillicit
GABRA6	Quazepam	approvedillicit
GABRR3	Quazepam	approvedillicit
GABRR2	Quazepam	approvedillicit
GABRB1	Quazepam	approvedillicit
GABRQ	Quazepam	approvedillicit
GABRA1	Quazepam	approvedillicit
GABRA3	Quazepam	approvedillicit
GABRG3	Quazepam	approvedillicit
GABRG1	Quazepam	approvedillicit
GABRD	Quazepam	approvedillicit
GABRA4	Quazepam	approvedillicit
GABRP	Quazepam	approvedillicit
MTOR	Everolimus	approved
CHRM3	Solifenacin	approved
GABRG2	Cinolazepam	approved
GABRG3	Cinolazepam	approved
GABRE	Cinolazepam	approved
GABRA2	Cinolazepam	approved
GABRA3	Cinolazepam	approved
GABRG1	Cinolazepam	approved
GABRA1	Cinolazepam	approved
GABRR3	Cinolazepam	approved
GABRB3	Cinolazepam	approved
GABRB1	Cinolazepam	approved
GABRA5	Cinolazepam	approved
GABRB2	Cinolazepam	approved
GABRP	Cinolazepam	approved
GABRR1	Cinolazepam	approved
GABRR2	Cinolazepam	approved
GABRD	Cinolazepam	approved
GABRB1	Nitrazepam	approved
GABRB2	Nitrazepam	approved
GABRR1	Nitrazepam	approved
GABRG2	Nitrazepam	approved
GABRA5	Nitrazepam	approved
GABRG1	Nitrazepam	approved
GABRQ	Nitrazepam	approved
GABRA3	Nitrazepam	approved
GABRE	Nitrazepam	approved
GABRP	Nitrazepam	approved
GABRA1	Nitrazepam	approved
GABRD	Nitrazepam	approved
GABRB3	Nitrazepam	approved
GABRR2	Nitrazepam	approved
GABRA6	Nitrazepam	approved
GABRA2	Nitrazepam	approved
GABRR3	Nitrazepam	approved
GABRG3	Nitrazepam	approved
GABRA4	Nitrazepam	approved
DPEP1	Cilastatin	approved
ABCA1	Probucol	approved
PTGS1	Tiaprofenic acid	approved
PTGS2	Tiaprofenic acid	approved
DRD1	Propericiazine	approved
ADRA2A	Propericiazine	approved
TLR7	Hydroxychloroquine	approved
TLR9	Hydroxychloroquine	approved
NPR1	Amyl Nitrite	approved
NPR2	Erythrityl Tetranitrate	approved
NPR1	Erythrityl Tetranitrate	approved
DRD1	Acepromazine	approvedvet_approved
HTR2A	Acepromazine	approvedvet_approved
HTR1A	Acepromazine	approvedvet_approved
DRD2	Acepromazine	approvedvet_approved
HRH1	Aceprometazine	approved
HTR1A	Alverine	approved
DRD2	Molindone	approved
HRH1	Phenindamine	approved
HRH1	Pheniramine	approved
HTR1A	Pipotiazine	approved
DRD2	Pipotiazine	approved
DRD1	Pipotiazine	approved
HTR2A	Pipotiazine	approved
HTR1A	Thioproperazine	approved
HTR2A	Thioproperazine	approved
ADRA1A	Thioproperazine	approved
DRD2	Thioproperazine	approved
ADRA1B	Thioproperazine	approved
DRD1	Thiothixene	approved
DRD2	Thiothixene	approved
HTR2A	Thiothixene	approved
DRD2	Zuclopenthixol	approvedinvestigational
DRD5	Zuclopenthixol	approvedinvestigational
DRD1	Zuclopenthixol	approvedinvestigational
CHRM3	Isopropamide	approvedvet_approved
MAOB	Pargyline	approved
PTGS2	Etoricoxib	approvedinvestigational
HDAC6	Vorinostat	approvedinvestigational
HDAC1	Vorinostat	approvedinvestigational
HDAC3	Vorinostat	approvedinvestigational
HDAC2	Vorinostat	approvedinvestigational
AVPR2	Terlipressin	approvedinvestigational
GRIN3A	Phencyclidine	illicit
RXRA	Docosa-4,7,10,13,16,19-Hexaenoic Acid	experimental
PPARG	Docosa-4,7,10,13,16,19-Hexaenoic Acid	experimental
PPARA	Docosa-4,7,10,13,16,19-Hexaenoic Acid	experimental
RXRG	Docosa-4,7,10,13,16,19-Hexaenoic Acid	experimental
RXRB	Docosa-4,7,10,13,16,19-Hexaenoic Acid	experimental
PDE4B	Cilomilast	investigational
PDE4D	Cilomilast	investigational
XIAP	Dequadin	experimental
PTGS2	Niflumic Acid	approved
PLA2G1B	Niflumic Acid	approved
ESR1	Estriol	approvedvet_approved
ESR1	Estrone sulfate	approved
ESR1	Quinestrol	approved
TOP2A	Fleroxacin	approved
PTGS2	Nimesulide	approvedwithdrawn
FSHR	Suramin	approved
P2RY2	Suramin	approved
SIRT5	Suramin	approved
PGR	Tanaproget	investigational
CCR5	Maraviroc	approvedinvestigational
HRH1	Clofedanol	approvedwithdrawn
AR	Cyproterone acetate	approvedinvestigational
SLC6A2	Debrisoquin	approved
CACNA1I	Flunarizine	approved
CACNA1G	Flunarizine	approved
CACNA1H	Flunarizine	approved
DRD2	Fluspirilene	approved
CHRM3	Mepenzolate	approved
CHRM1	Mepenzolate	approved
SLC18A2	Tetrabenazine	approved
TUBB3	Ixabepilone	approvedinvestigational
ADRB2	Celiprolol	approvedinvestigational
ADRB1	Celiprolol	approvedinvestigational
XDH	Febuxostat	approved
ADRB1	Nebivolol	approvedinvestigational
RPL3	Omacetaxine mepesuccinate	approved
ABL1	Nilotinib	approvedinvestigational
DPP4	Vildagliptin	approvedinvestigational
MGAM	Voglibose	approvedinvestigational
PDE3A	Enoximone	approvedinvestigational
HRH1	Bepotastine	approved
SSTR2	Vapreotide	approvedinvestigational
SSTR5	Vapreotide	approvedinvestigational
SLC6A4	Milnacipran	approved
SLC6A2	Milnacipran	approved
F2	Ximelagatran	approvedinvestigationalwithdrawn
ABCB1	Tesmilifene	investigational
DRD4	Flibanserin	approved
HTR2A	Flibanserin	approved
HTR1A	Flibanserin	approved
SCN1A	Permethrin	approvedinvestigational
ESR1	Ospemifene	approved
ANO1	Crofelemer	approved
CFTR	Crofelemer	approved
RARB	Tamibarotene	approvedinvestigational
RARA	Tamibarotene	approvedinvestigational
HTR2A	Iloperidone	approved
DRD2	Iloperidone	approved
ADRA2A	Lofexidine	approvedinvestigational
TOP2A	Lucanthone	approvedinvestigational
TOP1	Lucanthone	approvedinvestigational
APEX1	Lucanthone	approvedinvestigational
HDAC3	Belinostat	approvedinvestigational
HDAC9	Belinostat	approvedinvestigational
HDAC6	Belinostat	approvedinvestigational
HDAC1	Belinostat	approvedinvestigational
HDAC8	Belinostat	approvedinvestigational
HDAC10	Belinostat	approvedinvestigational
HDAC5	Belinostat	approvedinvestigational
HDAC7	Belinostat	approvedinvestigational
HDAC2	Belinostat	approvedinvestigational
HDAC11	Belinostat	approvedinvestigational
HDAC4	Belinostat	approvedinvestigational
ADRB2	Indacaterol	approved
PTH1R	BA058	investigational
MAP2K1	Cobimetinib	approved
CACNA1G	Methsuximide	approved
ATP6V1B2	Gallium nitrate	approvedinvestigational
BGLAP	Gallium nitrate	approvedinvestigational
RRM2	Gallium nitrate	approvedinvestigational
IL1B	Gallium nitrate	approvedinvestigational
NOXO1	Ecabet	approvedinvestigational
PDE4C	Ibudilast	approvedinvestigational
PDE4B	Ibudilast	approvedinvestigational
PDE4A	Ibudilast	approvedinvestigational
DRD4	Rotigotine	approved
DRD2	Rotigotine	approved
DRD3	Rotigotine	approved
KLKB1	Ecallantide	approved
HTR2A	Pimavanserin	investigational
MPL	Romiplostim	approved
ATP4B	TAK-390MR	investigational
ATP4A	TAK-390MR	investigational
HRH2	Histamine	approvedinvestigational
HRH3	Histamine	approvedinvestigational
HRH1	Histamine	approvedinvestigational
KDR	Ramucirumab	approvedinvestigational
FOLR1	Farletuzumab	investigational
TOP1	Sodium stibogluconate	approvedinvestigational
PDE4D	Apremilast	approvedinvestigational
PDE4A	Apremilast	approvedinvestigational
PDE4B	Apremilast	approvedinvestigational
IL23A	Ustekinumab	approvedinvestigational
IL12B	Ustekinumab	approvedinvestigational
IL12B	Ustekinumab	approvedinvestigational
ERBB2	Trastuzumab emtansine	approved
F2	Thrombomodulin Alfa	approvedinvestigational
CYP17A1	Abiraterone	approved
PTH2R	Parathyroid hormone	approvedinvestigational
CACNA1B	UCB 44212	investigational
SV2A	UCB 44212	investigational
NR1H4	Obeticholic acid	approved
HTR2B	Cariprazine	approved
HTR2A	Cariprazine	approved
DRD3	Cariprazine	approved
HRH1	Cariprazine	approved
DRD2	Cariprazine	approved
HTR1A	Cariprazine	approved
PDGFRA	Olaratumab	investigational
BACE1	CTS-21166	investigational
HTR2C	Sertindole	approvedwithdrawn
DRD2	Sertindole	approvedwithdrawn
HTR6	Sertindole	approvedwithdrawn
HTR2A	Sertindole	approvedwithdrawn
SLC7A11	Acetylcysteine	approved
GSS	Acetylcysteine	approved
CNR1	Rimonabant	approvedinvestigational
IL1B	Canakinumab	approvedinvestigational
HDAC1	Romidepsin	approvedinvestigational
HDAC2	Romidepsin	approvedinvestigational
CTLA4	Ipilimumab	approved
BDKRB2	Icatibant	approved
ESR2	Lasofoxifene	approvedinvestigational
ESR1	Lasofoxifene	approvedinvestigational
DPP4	Alogliptin	approved
SLC6A2	Tapentadol	approved
OPRM1	Tapentadol	approved
ADRA1A	Silodosin	approved
P2RY12	Prasugrel	approved
AVPR2	Tolvaptan	approved
ADORA2A	Regadenoson	approved
HTR2A	Asenapine	approved
DRD2	Asenapine	approved
F10	Rivaroxaban	approved
PDE5A	Avanafil	approved
ODC1	Eflornithine	approvedwithdrawn
ADRA1D	Droxidopa	approvedinvestigational
ADRA2A	Droxidopa	approvedinvestigational
ADRB3	Droxidopa	approvedinvestigational
ADRA1A	Droxidopa	approvedinvestigational
ADRA1B	Droxidopa	approvedinvestigational
ADRB1	Droxidopa	approvedinvestigational
ADRB2	Droxidopa	approvedinvestigational
ADRA2B	Droxidopa	approvedinvestigational
ADRA2C	Droxidopa	approvedinvestigational
PDE5A	Udenafil	approvedinvestigational
EDNRA	Sitaxentan	approvedinvestigationalwithdrawn
SERPINC1	Sulodexide	approvedinvestigational
SERPIND1	Sulodexide	approvedinvestigational
IL6R	Tocilizumab	approved
OPRM1	Alvimopan	approved
HRH1	Levocetirizine	approved
MTOR	Temsirolimus	approved
DRD2	Amisulpride	approvedinvestigational
HTR7	Amisulpride	approvedinvestigational
SLC5A2	Dapagliflozin	approved
SLAMF7	Elotuzumab	approved
DPP4	Saxagliptin	approved
ERBB2	Pertuzumab	approved
ESR1	Bazedoxifene	approvedinvestigational
EDNRA	Ambrisentan	approvedinvestigational
KLKB1	C1 Esterase Inhibitor (Human)	approved
F12	C1 Esterase Inhibitor (Human)	approved
C1R	C1 Esterase Inhibitor (Human)	approved
C1S	C1 Esterase Inhibitor (Human)	approved
F11	C1 Esterase Inhibitor (Human)	approved
PLAT	C1 Esterase Inhibitor (Human)	approved
AR	Oxymetholone	approvedillicit
SLC6A3	Armodafinil	approvedinvestigational
LPL	Tyloxapol	approvedinvestigational
P2RY12	Cangrelor	approved
HTR4	Prucalopride	approved
GABRG1	Adipiplon	investigational
GABRG2	Adipiplon	investigational
GABRA2	Adipiplon	investigational
GABRG3	Adipiplon	investigational
GABRA4	Adipiplon	investigational
GABRA5	Adipiplon	investigational
GABRA6	Adipiplon	investigational
GABRA1	Adipiplon	investigational
GABRA3	Adipiplon	investigational
PDGFRB	Pazopanib	approved
FLT1	Pazopanib	approved
KDR	Pazopanib	approved
KIT	Pazopanib	approved
PDGFRA	Pazopanib	approved
FLT4	Pazopanib	approved
HTR2C	Agomelatine	approvedinvestigational
MTNR1A	Agomelatine	approvedinvestigational
MTNR1B	Agomelatine	approvedinvestigational
HDAC6	Panobinostat	approvedinvestigational
HDAC1	Panobinostat	approvedinvestigational
HDAC8	Panobinostat	approvedinvestigational
HDAC10	Panobinostat	approvedinvestigational
HDAC7	Panobinostat	approvedinvestigational
HDAC3	Panobinostat	approvedinvestigational
HDAC4	Panobinostat	approvedinvestigational
HDAC5	Panobinostat	approvedinvestigational
HDAC2	Panobinostat	approvedinvestigational
HDAC9	Panobinostat	approvedinvestigational
HDAC11	Panobinostat	approvedinvestigational
F10	Apixaban	approved
IL5	Mepolizumab	approvedinvestigational
BCR	Bosutinib	approved
ABL1	Bosutinib	approved
FLT1	Axitinib	approvedinvestigational
KDR	Axitinib	approvedinvestigational
FLT4	Axitinib	approvedinvestigational
KCND2	Dalfampridine	approved
KCNA4	Dalfampridine	approved
KCNC2	Dalfampridine	approved
KCND3	Dalfampridine	approved
KCND1	Dalfampridine	approved
KCNA1	Dalfampridine	approved
KCNB1	Dalfampridine	approved
KCNC3	Dalfampridine	approved
KCNA7	Dalfampridine	approved
KCNA6	Dalfampridine	approved
KCNC1	Dalfampridine	approved
KCNA3	Dalfampridine	approved
KCNB2	Dalfampridine	approved
KCNA5	Dalfampridine	approved
KCNA2	Dalfampridine	approved
KCNA10	Dalfampridine	approved
TNFSF11	Denosumab	approved
MS4A1	Ofatumumab	approved
MAOB	Safinamide	approved
GLP1R	Liraglutide	approved
TNF	Golimumab	approved
HRH1	Mepyramine	approvedvet_approved
HMGCR	Mevastatin	experimental
ADRA1A	Xylometazoline	approved
ADRA2A	Xylometazoline	approved
ADRA2B	Xylometazoline	approved
F2	Dabigatran etexilate	approved
HRH1	Betahistine	approved
HRH3	Betahistine	approved
GNRHR	Degarelix	approved
SLC6A4	Desvenlafaxine	approved
SLC6A2	Desvenlafaxine	approved
SLC6A3	Dexmethylphenidate	approved
SLC6A2	Dexmethylphenidate	approved
CHRM3	Fesoterodine	approved
SLC18A2	Isometheptene	approved
ADRA1A	Isometheptene	approved
ADRA2B	Levonordefrin	approved
ADRA2A	Levonordefrin	approved
ADRA2C	Levonordefrin	approved
CHRM3	Methacholine	approved
AR	Methyltestosterone	approved
ADRA1A	Naphazoline	approved
ADRA2A	Naphazoline	approved
CACNA2D1	Nilvadipine	approved
CACNB2	Nilvadipine	approved
CACNA1C	Nilvadipine	approved
PGR	Norelgestromin	approved
SLC18A2	Propylhexedrine	approved
GABRB3	Fospropofol	approvedillicit
GABRB2	Fospropofol	approvedillicit
GNRHR	Buserelin	approved
LHCGR	Buserelin	approved
PTGS1	Lornoxicam	approved
PTGS2	Lornoxicam	approved
ATP6V1A	Bafilomycin A1	experimental
ATP6V1A	Bafilomycin B1	experimental
PTGS1	Aceclofenac	approved
PTGS2	Aceclofenac	approved
OPRM1	Ketobemidone	approved
OPRK1	Ketobemidone	approved
OPRD1	Ketobemidone	approved
PDE4A	Drotaverine	approved
ADRA1A	Tetryzoline	approved
TUBB1	Cabazitaxel	approved
TUBA4A	Cabazitaxel	approved
TRPV1	Capsaicin	approved
CPS1	Carglumic Acid	approved
SERPINC1	Dalteparin	approved
TFPI	Dalteparin	approved
VEGFA	Dalteparin	approved
NR3C1	Difluprednate	approved
GNRHR	Ganirelix	approved
CHRM3	Hexocyclium	approved
GNRHR	Histrelin	approved
OPRM1	Methylnaltrexone	approved
CXCR4	Plerixafor	approved
DHFR	Pralatrexate	approved
TYMS	Pralatrexate	approved
SERPINC1	Tinzaparin	approved
GNRHR	Triptorelin	approvedvet_approved
DPP4	2-(4-{(3S,5S)-5-[(3,3-difluoropyrrolidin-1-yl)carbonyl]pyrrolidin-3-yl}piperazin-1-yl)pyrimidine	experimental
PTGS2	Parecoxib	approved
HRH1	Antazoline	approved
HRH1	Chloropyramine	approved
HRH1	Dimetindene	approved
CHRM2	Dimetindene	approved
HRH1	Isothipendyl	approved
AR	Nandrolone decanoate	approvedillicit
HRH2	Metiamide	experimental
HRH2	Roxatidine acetate	approved
ADRB1	Bopindolol	approved
ADRB1	Bupranolol	approved
PDK1	Dichloroacetic Acid	experimental
HTR2A	Cinitapride	approved
HTR1A	Cinitapride	approved
SERPINC1	Nadroparin	approved
PTGS1	Triflusal	approved
NFKB1	Triflusal	approved
PDE10A	Triflusal	approved
NOS2	Triflusal	approved
HTR2A	Lurasidone	approved
DRD2	Lurasidone	approved
P2RY12	Ticagrelor	approved
ICAM1	Hyaluronic acid	approvedvet_approved
HMMR	Hyaluronic acid	approvedvet_approved
CD44	Hyaluronic acid	approvedvet_approved
PTGFR	Tafluprost	approved
CFTR	Ivacaftor	approved
AGTR1	Azilsartan medoxomil	approved
MTTP	Lomitapide	approved
SMO	Vismodegib	approved
CHRNA1	Agmatine	experimentalinvestigational
CACNA1B	Agmatine	experimentalinvestigational
ASIC3	Agmatine	experimentalinvestigational
GRIN1	Agmatine	experimentalinvestigational
NISCH	Agmatine	experimentalinvestigational
KCNJ1	Agmatine	experimentalinvestigational
ADRA2C	Agmatine	experimentalinvestigational
HMGCR	Pitavastatin	approved
ALK	Crizotinib	approved
MET	Crizotinib	approved
NR3C1	Ulipristal	approved
PGR	Ulipristal	approved
S1PR5	Fingolimod	approvedinvestigational
GHRHR	Tesamorelin	approvedinvestigational
TNFRSF8	Brentuximab vedotin	approved
KDR	Cabozantinib	approved
RET	Cabozantinib	approved
MET	Cabozantinib	approved
JAK1	Ruxolitinib	approved
JAK2	Ruxolitinib	approved
TNFSF13B	Belimumab	approved
BRAF	Vemurafenib	approved
DPP4	Linagliptin	approved
GRIA1	Perampanel	approved
PGF	Aflibercept	approved
VEGFA	Aflibercept	approved
VEGFB	Aflibercept	approved
FN1	Ocriplasmin	approved
PSMB8	Carfilzomib	approved
PSMB1	Carfilzomib	approved
PSMB10	Carfilzomib	approved
PSMB5	Carfilzomib	approved
PSMB9	Carfilzomib	approved
PSMB2	Carfilzomib	approved
GUCY2C	Linaclotide	approved
GABBR1	Arbaclofen	investigational
GABBR2	Arbaclofen	investigational
GABBR1	Arbaclofen Placarbil	investigational
GABBR2	Arbaclofen Placarbil	investigational
ADRB3	Mirabegron	approved
EPOR	Peginesatide	approved
JAK3	Tofacitinib	approvedinvestigational
JAK1	Tofacitinib	approvedinvestigational
JAK2	Tofacitinib	approvedinvestigational
EPHA2	Regorafenib	approved
DDR2	Regorafenib	approved
FRK	Regorafenib	approved
RAF1	Regorafenib	approved
MAPK11	Regorafenib	approved
FGFR2	Regorafenib	approved
PDGFRB	Regorafenib	approved
NTRK1	Regorafenib	approved
FLT4	Regorafenib	approved
FGFR1	Regorafenib	approved
KIT	Regorafenib	approved
RET	Regorafenib	approved
FLT1	Regorafenib	approved
ABL1	Regorafenib	approved
BRAF	Regorafenib	approved
KDR	Regorafenib	approved
PDGFRA	Regorafenib	approved
TEK	Regorafenib	approved
CHRM5	Aclidinium	approved
CHRM2	Aclidinium	approved
CHRM4	Aclidinium	approved
CHRM3	Aclidinium	approved
CHRM1	Aclidinium	approved
AR	Enzalutamide	approved
GLP2R	Teduglutide	approved
ABL1	Ponatinib	approved
BCR	Ponatinib	approved
TNF	Certolizumab pegol	approved
NR3C1	Fluticasone furoate	approved
SLC5A2	Canagliflozin	approved
KEAP1	Dimethyl fumarate	approvedinvestigational
TNF	Pomalidomide	approved
CRBN	Pomalidomide	approved
PTGS2	Pomalidomide	approved
MAP2K1	Trametinib	approved
MAP2K2	Trametinib	approved
BRAF	Dabrafenib	approved
RAF1	Dabrafenib	approved
PPARA	Aleglitazar	investigational
PPARG	Aleglitazar	investigational
ERBB4	Afatinib	approved
ERBB2	Afatinib	approved
EGFR	Afatinib	approved
SLC6A2	Levomilnacipran	approved
SLC6A4	Levomilnacipran	approved
HTR1A	Perospirone	approved
DRD2	Perospirone	approved
HTR2A	Perospirone	approved
GUCY1A2	Riociguat	approved
EDNRB	Macitentan	approved
EDNRA	Macitentan	approved
MS4A1	Obinutuzumab	approved
HRH1	Chlorcyclizine	approved
GRIN1	Ifenprodil	approvedwithdrawn
GRIN2B	Ifenprodil	approvedwithdrawn
PTGER3	Gemeprost	approvedwithdrawn
ACHE	Dimetacrine	approvedwithdrawn
HTR2C	Captodiame	approvedinvestigational
DRD3	Captodiame	approvedinvestigational
SIGMAR1	Captodiame	approvedinvestigational
SLC6A4	Butriptyline	approved
HTR2A	Butriptyline	approved
HRH1	Butriptyline	approved
DRD2	Bromopride	approved
REN	Aliskiren	approvedinvestigational
IL17A	Secukinumab	approved
F2R	Vorapaxar	approved
ITGA4	Vedolizumab	approved
ITGB7	Vedolizumab	approved
HCRTR1	Suvorexant	approved
HCRTR2	Suvorexant	approved
PDCD1	Nivolumab	approved
IL6	Siltuximab	approved
PDCD1	Pembrolizumab	approved
UGCG	Eliglustat	approved
GLP1R	Albiglutide	approved
GLP1R	Dulaglutide	approved
LEPR	Metreleptin	approved
TOP2A	Finafloxacin	approved
TACR1	Netupitant	approved
OPRM1	Naloxegol	approved
CD3D	Blinatumomab	approved
CD19	Blinatumomab	approved
BTK	Ibrutinib	approved
ALK	Ceritinib	approved
HTR7	Vortioxetine	approved
HTR3A	Vortioxetine	approved
HTR1A	Vortioxetine	approved
HTR1B	Vortioxetine	approved
SLC6A4	Vortioxetine	approved
ACAA1	Trimetazidine	approved
ESR1	Tibolone	approved
MTNR1A	Tasimelteon	approved
MTNR1B	Tasimelteon	approved
CDK6	Palbociclib	approved
CDK4	Palbociclib	approved
PARP2	Olaparib	approved
PARP1	Olaparib	approved
PARP3	Olaparib	approved
F10	Edoxaban	approved
CHRM2	Umeclidinium	approved
CHRM3	Umeclidinium	approved
KDR	Lenvatinib	approved
KIT	Lenvatinib	approved
FGFR4	Lenvatinib	approved
FLT4	Lenvatinib	approved
FGFR1	Lenvatinib	approved
FGFR2	Lenvatinib	approved
FGFR3	Lenvatinib	approved
FLT1	Lenvatinib	approved
FGFR3	Nintedanib	approved
FLT4	Nintedanib	approved
KDR	Nintedanib	approved
FGFR1	Nintedanib	approved
FLT1	Nintedanib	approved
FGFR2	Nintedanib	approved
ADRB2	Olodaterol	approved
ADRB2	Vilanterol	approved
RYR2	Tetracaine	approvedvet_approved
RYR1	Tetracaine	approvedvet_approved
CACNB4	Trimebutine	approved
OPRM1	Trimebutine	approved
CACNA1F	Trimebutine	approved
KCNN1	Trimebutine	approved
CACNB2	Trimebutine	approved
KCNMA1	Trimebutine	approved
CACNA1C	Trimebutine	approved
KCNN3	Trimebutine	approved
CACNB3	Trimebutine	approved
KCNN4	Trimebutine	approved
CACNB1	Trimebutine	approved
KCNN2	Trimebutine	approved
KCNMB4	Trimebutine	approved
CACNA1D	Trimebutine	approved
CACNA1S	Trimebutine	approved
KCNMB1	Trimebutine	approved
KCNMB3	Trimebutine	approved
KCNMB2	Trimebutine	approved
CACNA1S	Pinaverium	approved
EPOR	Methoxy polyethylene glycol-epoetin beta	approved
HBB	Sodium Nitrite	approved
HBA1	Sodium Nitrite	approved
GABRG2	Stiripentol	approved
GABRB1	Stiripentol	approved
GABRB2	Stiripentol	approved
GABRG3	Stiripentol	approved
GABRA2	Stiripentol	approved
GABRA5	Stiripentol	approved
GABRA6	Stiripentol	approved
GABRA3	Stiripentol	approved
GABRB3	Stiripentol	approved
GABRA4	Stiripentol	approved
GABRQ	Stiripentol	approved
GABRE	Stiripentol	approved
GABRA1	Stiripentol	approved
LDHA	Stiripentol	approved
LDHB	Stiripentol	approved
GABRD	Stiripentol	approved
GABRG1	Stiripentol	approved
GABRP	Stiripentol	approved
P2RX4	Eslicarbazepine acetate	approved
TRPV1	Zucapsaicin	approved
LHCGR	Chorionic Gonadotropin (Human)	approvedvet_approved
ADRA1B	Brexpiprazole	approved
HTR2A	Brexpiprazole	approved
ADRA2C	Brexpiprazole	approved
HTR1A	Brexpiprazole	approved
DRD2	Brexpiprazole	approved
INSR	Chromic chloride	approved
HBA1	Iron saccharate	approved
APP	Florbetaben (18F)	approved
APP	Florbetapir (18F)	approved
APP	Flutemetamol (18F)	approved
GABRA3	Etizolam	approved
GABRA2	Etizolam	approved
GABRA1	Etizolam	approved
GABRG2	Etizolam	approved
CHRM4	Dosulepin	approved
ADRA2B	Dosulepin	approved
CHRM2	Dosulepin	approved
HTR2A	Dosulepin	approved
ADRA2A	Dosulepin	approved
ADRA1A	Dosulepin	approved
ADRA1B	Dosulepin	approved
CHRM3	Dosulepin	approved
ADRA2C	Dosulepin	approved
CHRM1	Dosulepin	approved
CHRM5	Dosulepin	approved
HRH1	Dosulepin	approved
HTR1A	Dosulepin	approved
SLC6A2	Dosulepin	approved
SLC6A4	Dosulepin	approved
ADRA1D	Dosulepin	approved
SLC6A2	Viloxazine	approvedwithdrawn
PPARG	Lobeglitazone	approved
ADRA1B	Cirazoline	experimental
ADRA1A	Cirazoline	experimental
ADRA2B	Cirazoline	experimental
ADRA2C	Cirazoline	experimental
ADRA1D	Cirazoline	experimental
ADRA2A	Cirazoline	experimental
PTGER2	Limaprost	approved
PTGS2	Dexibuprofen	approved
C1S	C1 Esterase Inhibitor (Recombinant)	approved
F2	C1 Esterase Inhibitor (Recombinant)	approved
PLAT	C1 Esterase Inhibitor (Recombinant)	approved
C1R	C1 Esterase Inhibitor (Recombinant)	approved
F11	C1 Esterase Inhibitor (Recombinant)	approved
KLKB1	C1 Esterase Inhibitor (Recombinant)	approved
F12	C1 Esterase Inhibitor (Recombinant)	approved
NOS1	Methylene blue	investigational
GUCY1A2	Methylene blue	investigational
NISCH	Moxonidine	approved
GLP1R	Lixisenatide	approved
OPRM1	Eluxadoline	approved
OPRD1	Eluxadoline	approved
OPRK1	Eluxadoline	approved
PDE1C	Trapidil	approved
PDE3A	Trapidil	approved
PDE4D	Trapidil	approved
PDE4C	Trapidil	approved
PDE2A	Trapidil	approved
PDE1B	Trapidil	approved
PDE3B	Trapidil	approved
PDE7B	Trapidil	approved
PDE7A	Trapidil	approved
PDE4B	Trapidil	approved
PDE8A	Trapidil	approved
PDE6A	Trapidil	approved
PDE4A	Trapidil	approved
PDE6B	Trapidil	approved
PDE8B	Trapidil	approved
PDE11A	Trapidil	approved
PDE5A	Trapidil	approved
PDE6C	Trapidil	approved
PDE1A	Trapidil	approved
PDE9A	Trapidil	approved
PDE10A	Trapidil	approved
MME	Sacubitril	approved
CHRM3	Scopolamine butylbromide	approved
PCSK9	Alirocumab	approved
ESR1	Synthetic Conjugated Estrogens, A	approved
ESR1	Synthetic Conjugated Estrogens, B	approved
EGFR	Osimertinib	approved
CHRM3	Dexpanthenol	approved
SRD5A1	Norgestrel	approved
PGR	Norgestrel	approved
OPRM1	Propoxyphene napsylate	approved
OPRD1	Propoxyphene napsylate	approved
OPRK1	Propoxyphene napsylate	approved
	Protirelin	approved
PPARA	Soybean oil	approved
PPARD	Glycerin	approved
CA2	Sodium sulfate	approvedvet_approved
CA1	Sodium sulfate	approvedvet_approved
ACE	Enalaprilat	approved
HRH1	Acrivastine	approved
HBB	Sodium ferric gluconate complex	approved
FTL	Sodium ferric gluconate complex	approved
TYR	Hydroquinone	approved
ATP6V1C1	Thonzonium bromide	approved
HRH1	Dexchlorpheniramine maleate	approved
EGFR	Necitumumab	approved
INSR	Insulin Degludec	approved
CASR	Calcium citrate	approved
PPARG	Omega-3 fatty acids	approvednutraceutical
F2	Antithrombin Alfa	approved
F10	Antithrombin Alfa	approved
FGB	Prothrombin	approved
FGA	Prothrombin	approved
