gene	rseq
HIST1H2AG	NM_021064
CCAR1	NM_018237
LYRM1	NM_020424
RRS1	NM_015169
MARK2	NM_001039469
WDR52	NM_001164496
ANKRD11	NM_013275
GLS	NM_014905
MED7	NM_004270
RNASE9	NM_001110358
ATXN3	NM_004993
UBXN6	NM_025241
KARS	NM_001130089
MED24	NM_014815
ZNF226	NM_001032372
EZR	NM_003379
NHLH2	NM_005599
GPC3	NM_001164617
TFCP2	NM_005653
TRDMT1	NM_004412
CD63	NM_001780
ZNF154	NM_001085384
PAQR5	NM_017705
LOC100132247	NM_001135865
ZAR1L	NM_001136571
PRR5L	NM_024841
KCNJ3	NM_002239
CDC42	NM_001791
CDKN2D	NM_001800
CDK1	NM_001786
HIST1H1T	NM_005323
HIST1H1B	NM_005322
GPR116	NM_015234
CCK	NM_000729
EPOR	NM_000121
ERCC3	NM_000122
RRM2	NM_001165931
C14orf159	NM_001102368
TSTD1	NM_001113207
IDNK	NM_001001551
DAOA	NM_172370
ANKRD33B	NM_001164440
UBE2G1	NM_003342
UBE2D3	NM_181893
TMEM126B	NM_018480
CELF5	NM_021938
SBNO1	NM_001167856
ZNF540	NM_152606
NEK6	NM_001145001
SORBS2	NM_001270771
PGM3	NM_001199917
KIR2DL1	NM_014218
CSRP3	NM_003476
ADAM20	NM_003814
CHI3L2	NM_004000
STRA6	NM_001199042
NCF2	NM_000433
LYPD3	NM_014400
DIEXF	NM_014388
LAT	NM_001014989
TSC22D2	NM_014779
POLD3	NM_006591
USP39	NM_006590
CORIN	NM_006587
TMEM194A	NM_001130963
ACSL6	NM_015256
KIAA1279	NM_015634
FGFR1OP2	NM_015633
PRR5	NM_001198721
LY96	NM_015364
TNFSF13B	NM_006573
PLK4	NM_014264
JAKMIP2	NM_001270941
SCAND1	NM_033630
PSMC3IP	NM_016556
CCDC69	NM_015621
SULT1A2	NM_001054
RPL29	NM_000992
ACTB	NM_001101
MFAP4	NM_001198695
SV2A	NM_014849
SV2B	NM_014848
C16orf91	NM_001272051
TRAP1	NM_016292
PSMD6	NM_001271779
RAB11FIP3	NM_014700
PCDHGB6	NM_018926
PCDHGA10	NM_018913
PCDHGA9	NM_018921
MYRIP	NM_015460
PCDHGA7	NM_018920
PCDHGA6	NM_018919
RSBN1	NM_018364
RNLS	NM_001031709
LIN7C	NM_018362
KRTAP17-1	NM_031964
KRTAP9-8	NM_031963
KRTAP4-8	NM_031960
KRTAP3-2	NM_031959
KRTAP3-1	NM_031958
KRTAP1-5	NM_031957
KCNK10	NM_138317
NDUFV2	NM_021074
SCUBE2	NM_020974
PCDHGA5	NM_018918
ZFYVE28	NM_020972
PCDHGA4	NM_018917
SMAP1	NM_001044305
COX17	NM_005694
NR1H3	NM_001251934
PITPNM1	NM_004910
VPS36	NM_016075
BOLA1	NM_016074
CRYL1	NM_015974
GAL	NM_015973
DHX33	NM_020162
SLC22A9	NM_080866
UCMA	NM_145314
NACC1	NM_052876
ABHD11	NM_148912
TNPO3	NM_012470
AMZ2	NM_016627
FCHO1	NM_001161357
MAP7D2	NM_001168465
CEP170B	NM_001112726
BACE1	NM_012104
AMMECR1L	NM_031445
C5orf4	NM_032385
PGR	NM_000926
PCYT2	NM_001184917
C12orf29	NM_001009894
SLC41A3	NM_001008485
CELF4	NM_020180
ASRGL1	NM_025080
AFF3	NM_001025108
CALCA	NM_001741
HTATIP2	NM_001098520
SSUH2	NM_001256748
TNIP1	NM_006058
GDAP1L1	NM_001256737
EARS2	NM_001083614
FCGR2B	NM_004001
OR52E4	NM_001005165
TNNT3	NM_006757
SENP8	NM_145204
CTH	NM_001902
NCAPH2	NM_001185011
TAOK2	NM_016151
SENP6	NM_015571
TAS2R5	NM_018980
GPRASP1	NM_014710
USP34	NM_014709
MSL2	NM_018133
DNM3	NM_015569
SHQ1	NM_018130
PPP1R16B	NM_015568
LRRTM2	NM_015564
GPR27	NM_018971
SETBP1	NM_015559
SART3	NM_014706
TMEM255A	NM_017938
SYS1	NM_033542
ARHGAP23	NM_001199417
MCM4	NM_005914
SREK1	NM_001077199
NCDN	NM_014284
PLSCR5	NM_001085420
SLC38A8	NM_001080442
PSMD11	NM_002815
PBX1	NM_002585
SELL	NM_000655
DMD	NM_004006
GUCY2C	NM_004963
GFOD2	NM_030819
APOLD1	NM_001130415
CEP57L1	NM_173830
SNX11	NM_013323
RTKN	NM_001015055
C17orf98	NM_001080465
DDHD2	NM_015214
FAM118A	NM_017911
TAPBPL	NM_018009
TESC	NM_017899
GID8	NM_017896
TMCO3	NM_017905
IFT80	NM_020800
ANKZF1	NM_018089
CES5A	NM_001190158
MGST2	NM_002413
SLC13A3	NM_022829
CLDN2	NM_020384
MIF4GD	NM_001242498
SCML1	NM_001037540
ZNF324	NM_014347
ARAP2	NM_015230
PPP1R8	NM_014110
TMEM176B	NM_014020
STAG3	NM_012447
ARHGEF26	NM_015595
RAB18	NM_001256410
HIP1	NM_005338
PIANP	NM_153685
HSPD1	NM_002156
KBTBD6	NM_152903
CHRNA1	NM_001039523
TMEM11	NM_003876
GMPS	NM_003875
MRPS7	NM_015971
MRPS33	NM_016071
MRPS17	NM_015969
PPAP2A	NM_176895
XPO7	NM_015024
PPP2R4	NM_178001
TMEM127	NM_017849
POU5F1	NM_002701
SSR4	NM_001204526
P2RX5	NM_002561
SH3GL1	NM_003025
SIAE	NM_170601
SF3A1	NM_005877
PLIN1	NM_002666
SMIM8	NM_020425
R3HDM2	NM_014925
STRADB	NM_018571
GRIP1	NM_021150
ARHGEF12	NM_015313
IGF1R	NM_000875
IFNAR2	NM_207585
CAMK4	NM_001744
CALM2	NM_001743
CALCR	NM_001164737
CA5A	NM_001739
CALB2	NM_001740
C9	NM_001737
STK4	NM_006282
CECR1	NM_017424
OLFML3	NM_020190
GALNT7	NM_017423
C3orf37	NM_020187
ENY2	NM_020189
PAX3	NM_181459
SIPA1	NM_006747
ME1	NM_002395
TCEB3	NM_003198
TBC1D14	NM_020773
APBA1	NM_001163
PTPN2	NM_002828
ASAP2	NM_003887
SFRP5	NM_003015
SFRP4	NM_003014
RFC2	NM_181471
STAM	NM_003473
KCNQ3	NM_004519
ZZZ3	NM_015534
NMNAT1	NM_022787
ARV1	NM_022786
IQCH	NM_001031715
DEPTOR	NM_022783
THSD7A	NM_015204
FAM168A	NM_015159
KRTAP4-12	NM_031854
SNRPN	NM_003097
CTBP2	NM_022802
IL25	NM_022789
P2RY12	NM_022788
FAM110A	NM_031424
WRNIP1	NM_020135
MX2	NM_002463
MX1	NM_002462
ZNF141	NM_003441
FGF2	NM_002006
PTPRN	NM_002846
MUC5B	NM_002458
ZNF136	NM_003437
PRH2	NM_005042
SNRNP40	NM_004814
MICB	NM_005931
BCL11A	NM_022893
EPHX1	NM_000120
STIM1	NM_003156
STATH	NM_003154
B4GALNT2	NM_153446
PACSIN1	NM_020804
PDX1	NM_000209
ITGA6	NM_001079818
GLTSCR2	NM_015710
GPKOW	NM_015698
COQ2	NM_015697
WWP2	NM_007014
POLD2	NM_006230
DMTF1	NM_021145
RAD51D	NM_001142571
SLC18A1	NM_003053
KAL1	NM_000216
RPP21	NM_001199120
NPR3	NM_001204375
RPL8	NM_000973
RPL7A	NM_000972
UGT1A6	NM_001072
CYFIP2	NM_014376
ATP6V0B	NM_004047
HNRNPUL2	NM_001079559
LRMP	NM_006152
DDIT3	NM_001195053
LAMA3	NM_198129
KRT9	NM_000226
GPLD1	NM_001503
SEPT3	NM_145733
RMND5B	NM_022762
SRD5A3	NM_024592
SLC5A11	NM_052944
PLA2G10	NM_003561
PLA2G6	NM_003560
PIP4K2B	NM_003559
RRNAD1	NM_015997
C20orf173	NM_001145350
ITPK1	NM_014216
ZNF576	NM_024327
CXorf40A	NM_178124
PCDH15	NM_001142763
NRG1	NM_013956
ALPL	NM_000478
ABHD16A	NM_021160
MLF1	NM_001195432
DCDC2	NM_016356
SGSH	NM_000199
INSR	NM_000208
GALE	NM_000403
ARL4D	NM_001661
PRSS3	NM_007343
PRPSAP1	NM_002766
ECHDC2	NM_001198961
RAB43	NM_198490
HINT1	NM_005340
FAM65A	NM_001193523
APH1A	NM_001077628
ZNF655	NM_001083956
HIF3A	NM_152795
UTY	NM_001258249
NRM	NM_001270707
ING1	NM_005537
LUC7L2	NM_016019
RNASE4	NM_002937
SPATA12	NM_181727
TMEM119	NM_181724
EFHA2	NM_181723
DPRX	NM_001012728
RPS29	NM_001030001
CTRB2	NM_001025200
KRTAP5-3	NM_001012708
DEFB134	NM_001033019
DEFB136	NM_001033018
SYPL2	NM_001040709
C7orf63	NM_001039706
KRTAP6-2	NM_181604
KRTAP6-1	NM_181602
KRTAP13-4	NM_181600
C7orf49	NM_024033
NR6A1	NM_033334
AHCYL1	NM_006621
EMC3	NM_018447
TMBIM4	NM_016056
NOSIP	NM_015953
EXOSC1	NM_016046
DDO	NM_003649
CST7	NM_003650
XPO6	NM_015171
TNIK	NM_015028
ZNF581	NM_016535
TRANK1	NM_014831
MON2	NM_015026
GALNT5	NM_014568
INO80E	NM_173618
PTCRA	NM_001243168
CARKD	NM_018210
NAP1L4	NM_005969
CEP250	NM_007186
C10orf2	NM_021830
HPSE2	NM_021828
CCDC81	NM_001156474
TAGLN3	NM_013259
SMC5	NM_015110
SLC38A3	NM_006841
CAPN7	NM_014296
TGDS	NM_014305
RTN2	NM_005619
FRMD3	NM_174938
KLRC1	NM_002259
EFCAB6	NM_022785
AWAT1	NM_001013579
CLVS2	NM_001010852
CACNA2D4	NM_172364
SNCA	NM_000345
RPL31	NM_001098577
CCNT2	NM_058241
SIGLEC6	NM_001245
MICA	NM_000247
PLOD1	NM_000302
FAS	NM_000043
PTH	NM_000315
PTEN	NM_000314
PROS1	NM_000313
PTAFR	NM_000952
MITF	NM_198159
C16orf95	NM_001195124
BCAR1	NM_001170714
RGS5	NM_001254749
SRSF7	NM_001031684
BCKDHB	NM_000056
CTF1	NM_001330
CTBP1	NM_001328
LRP12	NM_013437
ZNF266	NM_006631
COX18	NM_173827
PROKR2	NM_144773
CARS	NM_001014437
SMCR8	NM_144775
LOC441155	NM_001271675
LTBP3	NM_001130144
ASPH	NM_004318
C1orf86	NM_001146310
MOSPD1	NM_019556
CFHR3	NM_021023
CAMKV	NM_024046
FGFRL1	NM_021923
C2orf43	NM_021925
CDHR5	NM_021924
AGAP2	NM_001122772
HEMGN	NM_018437
ALLC	NM_018436
MAGEC2	NM_016249
PSME3	NM_176863
MZF1	NM_003422
MAPKBP1	NM_001128608
PDPK1	NM_002613
SPRTN	NM_032018
NFE2	NM_006163
PTPN11	NM_002834
DHRS7B	NM_015510
TIPARP	NM_015508
HABP4	NM_014282
DNAJC8	NM_014280
ADAMTS7	NM_014272
CD160	NM_007053
NOX1	NM_007052
ZNF17	NM_006959
ZNF16	NM_006958
C15orf39	NM_015492
ERF	NM_006494
PSMC4	NM_006503
SH3BP4	NM_014521
POLH	NM_006502
NUP54	NM_017426
CYB5R4	NM_016230
CTNND1	NM_001085458
CYP4B1	NM_001099772
CYP4F11	NM_021187
NOTO	NM_001134462
CFLAR	NM_003879
TEF	NM_003216
PACRGL	NM_001258345
CCRL2	NM_001130910
ENDOV	NM_173627
ESR1	NM_000125
RLTPR	NM_001013838
CNOT4	NM_001190850
SPINK5	NM_001127698
SWI5	NM_001040011
MEOX1	NM_004527
CEMP1	NM_001048212
FUT6	NM_000150
ARHGAP26	NM_015071
ANKRD65	NM_001145210
TRIM64	NM_001136486
PIWIL2	NM_018068
NHS	NM_198270
VWDE	NM_001135924
DENND4A	NM_001144823
PLEKHD1	NM_001161498
AKR1D1	NM_005989
TAF7L	NM_024885
RFNG	NM_002917
CDH12	NM_004061
FGFBP1	NM_005130
RNF8	NM_003958
CAPS	NM_004058
S100G	NM_004057
CKAP2	NM_001098525
TMEM72	NM_001123376
MEPE	NM_020203
TRIM64B	NM_001164397
TLCD2	NM_001164407
CDH17	NM_004063
SEC14L1	NM_001039573
SSX2IP	NM_014021
EHHADH	NM_001966
TBXAS1	NM_001166253
GNA11	NM_002067
EIF4A2	NM_001967
RNH1	NM_002939
RNF4	NM_002938
OGDHL	NM_018245
PITHD1	NM_020362
FAM20A	NM_017565
CHODL	NM_024944
TMEM185A	NM_032508
AP3M1	NM_012095
ARL13B	NM_182896
MDFIC	NM_199072
JDP2	NM_001135049
MADD	NM_003682
DBNDD2	NM_001048225
PIK3R5	NM_014308
ABLIM2	NM_001130083
PABPC4	NM_001135653
ZFY	NM_003411
SLC35C1	NM_018389
RIOK2	NM_018343
TTC23	NM_022905
ZFP69B	NM_023070
RBM22	NM_018047
RIOK1	NM_031480
C3orf20	NM_032137
AEN	NM_022767
CERK	NM_022766
MICAL1	NM_022765
MTHFSD	NM_001159377
MYO19	NM_001163735
FLYWCH1	NM_032296
ALKBH7	NM_032306
SLC37A3	NM_207113
HDAC10	NM_032019
POLR3GL	NM_032305
ZNF557	NM_024341
THOC6	NM_024339
IRX1	NM_024337
IRX3	NM_024336
IRX6	NM_024335
TMEM43	NM_024334
HSDL2	NM_032303
ALG8	NM_024079
SECISBP2	NM_024077
GHRL	NM_016362
ACP6	NM_016361
IQCG	NM_032263
NR1D1	NM_021724
SIVA1	NM_006427
CAPN9	NM_006615
PLGRKT	NM_018465
PGA4	NM_001079808
NDUFAF5	NM_024120
UBXN2A	NM_181713
TCF23	NM_175769
KIF19	NM_153209
SLC9C1	NM_183061
PRELID2	NM_182960
SLC26A5	NM_198999
C15orf61	NM_001143936
R3HCC1	NM_001136108
NLRC3	NM_178844
ANKK1	NM_178510
TFE3	NM_006521
MTF1	NM_005955
MSMO1	NM_006745
GDAP1	NM_018972
MYO9B	NM_004145
NPHP1	NM_000272
TMEM201	NM_001130924
LDB2	NM_001290
CACNA1C	NM_199460
NLRP3	NM_004895
PDLIM4	NM_003687
TMCC2	NM_014858
EFR3A	NM_015137
NFKBID	NM_139239
NOL6	NM_022917
GIT2	NM_057169
WNT16	NM_057168
COL6A3	NM_004369
MPP3	NM_001932
PTPRS	NM_002850
ACOX1	NM_004035
PCSK1	NM_000439
SFN	NM_006142
NOMO1	NM_014287
CENPO	NM_024322
AURKC	NM_001015878
GPR56	NM_005682
TMEM123	NM_052932
SLAMF6	NM_001184714
SYT16	NM_031914
PWWP2A	NM_001130864
PNMA5	NM_052926
PCDHAC2	NM_018899
PCDHAC1	NM_018898
FZD8	NM_031866
PCDHA13	NM_018904
PCDHA12	NM_018903
OPN1SW	NM_001708
ABCC2	NM_000392
SEC14L6	NM_001193336
UQCC	NM_018244
SLIT2	NM_004787
PLTP	NM_006227
PNLIPRP1	NM_006229
PNOC	NM_006228
PAM	NM_000919
TEAD4	NM_003213
HSPA9	NM_004134
C12orf77	NM_001101339
NDUFS1	NM_001199984
KHK	NM_000221
KCNE1	NM_000219
CHRNA5	NM_000745
ADAMTS4	NM_005099
BCAR3	NM_003567
EEA1	NM_003566
GZMM	NM_005317
SPRR3	NM_005416
SIX3	NM_005413
PRKAB2	NM_005399
CCL13	NM_005408
SALL2	NM_005407
PODXL	NM_001018111
ROCK1	NM_005406
DLL1	NM_005618
RPS14	NM_005617
RHEB	NM_005614
REST	NM_005612
NDUFC2-KCTD14	NM_001203260
NBPF3	NM_032264
SCO2	NM_005138
LAD1	NM_005558
KRT16	NM_005557
ANP32C	NM_012403
LGALS4	NM_006149
RBBP9	NM_006606
PGLS	NM_012088
IL17RC	NM_153461
PLCD4	NM_032726
IFFO1	NM_001193457
KCNC4	NM_004978
METTL23	NM_001080510
SHISA3	NM_001080505
ZNF823	NM_001080493
PHF19	NM_015651
TMEM248	NM_017994
PAXIP1	NM_007349
VGLL1	NM_016267
DNAI2	NM_023036
GGA3	NM_138619
FGFR1	NM_001174067
MIA	NM_006533
PRRG1	NM_000950
SKIL	NM_005414
STMN1	NM_001145454
PITPNM3	NM_031220
PNPLA1	NM_001145717
SLC1A5	NM_005628
C5orf63	NM_001164479
PICALM	NM_007166
SAP25	NM_001168682
KRTAP21-3	NM_001164435
KRTAP22-2	NM_001164434
SEPT9	NM_001113491
ALS2CR8	NM_024744
MOV10L1	NM_018995
RAPGEF4	NM_007023
GRIK2	NM_021956
PPP1R13L	NM_006663
TRAPPC6A	NM_024108
PCDP1	NM_001271049
SH2D1A	NM_002351
PLK5	NM_001243079
ANKRD53	NM_001115116
RTBDN	NM_031429
SIGLEC14	NM_001098612
TRIT1	NM_017646
DUS3L	NM_020175
NCLN	NM_020170
RNF32	NM_030936
GABRB3	NM_000814
RTN4RL1	NM_178568
CD28	NM_006139
GALNT9	NM_001122636
DEPDC1	NM_001114120
FOXM1	NM_202002
CD300LD	NM_001115152
CDRT15	NM_001007530
PTPN12	NM_002835
CR1	NM_000651
CCND3	NM_001760
CBR1	NM_001757
SERPINA6	NM_001756
CBFB	NM_022845
RUNX1	NM_001754
CAV1	NM_001753
CAT	NM_001752
NDUFC1	NM_002494
NFX1	NM_002504
CASQ1	NM_001231
ACVR1	NM_001105
RPL34	NM_000995
TARS	NM_001258438
LILRB1	NM_001081637
MCU	NM_138357
DBNL	NM_001122956
RPSA	NM_002295
PATL2	NM_001145112
MBD3L5	NM_001136507
SLC22A24	NM_001136506
CCDC79	NM_001136505
GAS7	NM_201433
LRP5L	NM_182492
DERL3	NM_001135751
LAMC2	NM_005562
OSBPL8	NM_020841
LRRC42	NM_052940
ELOVL6	NM_024090
WDR18	NM_024100
GAN	NM_022041
METTL16	NM_024086
PRRG3	NM_024082
KCNN4	NM_002250
RPS24	NM_001142285
KLRC3	NM_007333
CDR2	NM_001802
KCNJ6	NM_002240
NPY	NM_000905
RPS3	NM_001260506
ECE1	NM_001397
SPIN2B	NM_001006681
KNG1	NM_001102416
KCNG1	NM_002237
DUSP7	NM_001947
FCGRT	NM_004107
FCER1G	NM_004106
NKX2-2	NM_002509
EEF1A1	NM_001402
GPR4	NM_005282
RAE1	NM_003610
GPR65	NM_003608
CDC42BPA	NM_003607
RPS13	NM_001017
RUNX1T1	NM_001198679
PLSCR2	NM_001199978
LYZL6	NM_020426
DOPEY1	NM_001199942
ZFPL1	NM_006782
SESN1	NM_014454
SNRPB	NM_198216
KCNK18	NM_181840
GPR141	NM_181791
TMEM202	NM_001080462
ZNF207	NM_001098507
LUZP6	NM_001128619
OSBPL3	NM_015550
CSNK1G2	NM_001319
DHRS1	NM_138452
IRF4	NM_002460
LRRC72	NM_001195280
GSR	NM_000637
P4HA1	NM_000917
SCUBE3	NM_152753
KRT14	NM_000526
RETSAT	NM_017750
SDF2L1	NM_022044
DCTN1	NM_004082
CSDA	NM_003651
NDUFA9	NM_005002
CD200R1L	NM_001008784
MYBL1	NM_001080416
EEF2K	NM_013302
PIKFYVE	NM_015040
ESD	NM_001984
ERCC1	NM_202001
ERBB3	NM_001982
DCAF7	NM_005828
LOC100144595	NM_001256368
PPP1R3G	NM_001145115
SAMD13	NM_001010971
IKBKB	NM_001556
SLC5A1	NM_000343
FAM65B	NM_014722
IP6K2	NM_016291
SVOP	NM_018711
TMEM55A	NM_018710
NXT2	NM_018698
TAF9	NM_003187
P2RX2	NM_170683
REV1	NM_016316
XRCC3	NM_005432
TKT	NM_001258028
COA5	NM_001008215
UEVLD	NM_001040697
CPT1C	NM_152359
RAI14	NM_001145525
C7orf72	NM_001161834
P2RX6	NM_005446
STAU2	NM_001164380
GPN3	NM_001164372
ZNF407	NM_017757
KCNQ5	NM_001160133
KLF6	NM_001300
NOS3	NM_000603
TMEM212	NM_001164436
ZBTB24	NM_014797
ZNF200	NM_003454
ZNF189	NM_003452
ATAD2B	NM_017552
EIF4G3	NM_001198801
ATF5	NM_012068
TUBD1	NM_016261
OGDH	NM_002541
RPL37	NM_000997
MOSPD2	NM_152581
HNF1B	NM_000458
PDE4D	NM_001104631
KRT5	NM_000424
KRT2	NM_000423
IFNA2	NM_000605
TNF	NM_000594
LRRC14B	NM_001080478
TSEN2	NM_025265
ZPBP	NM_007009
PLEKHM1	NM_014798
LILRB3	NM_001081450
ROPN1L	NM_031916
NETO1	NM_138966
FOLH1	NM_004476
FBXL2	NM_012157
UBAP2L	NM_014847
GPR89B	NM_016334
OSTF1	NM_012383
ZNF639	NM_016331
SCRN1	NM_001145514
NAA20	NM_016100
USP6NL	NM_001080491
ATRAID	NM_080592
NBAS	NM_015909
BNIPL	NM_138278
SH3YL1	NM_015677
CCSER1	NM_001145065
LALBA	NM_002289
LAIR1	NM_002287
LAG3	NM_002286
PI3	NM_002638
C1S	NM_001734
OR4C3	NM_001004702
LY6G6F	NM_001003693
OR2M3	NM_001004689
DDR2	NM_006182
C12orf71	NM_001080406
ZNF878	NM_001080404
SIRPB1	NM_006065
ZNF438	NM_182755
RIF1	NM_018151
NFYA	NM_002505
NDUFB6	NM_002493
TP73	NM_005427
FCAR	NM_002000
CRYZ	NM_001889
PATZ1	NM_014323
UPF2	NM_015542
TYMP	NM_001257989
CARD14	NM_024110
ODF2	NM_153435
PRIM1	NM_000946
PPP1R12B	NM_002481
GOT1	NM_002079
CA6	NM_001270500
INPP1	NM_002194
INHBB	NM_002193
ITGA2	NM_002203
PTCD1	NM_015545
IGSF21	NM_032880
AFF2	NM_002025
DGKH	NM_178009
ADRB3	NM_000025
ADRB2	NM_000024
PSEN1	NM_000021
XPA	NM_000380
XDH	NM_000379
SPP1	NM_001251830
CCR5	NM_000579
SLC11A1	NM_000578
IL1RN	NM_173841
SNURF	NM_005678
GPATCH2L	NM_017926
DENND4C	NM_017925
ZNF814	NM_001144989
CCND2	NM_001759
RCVRN	NM_002903
SNAPC2	NM_003083
WLS	NM_001002292
GK	NM_001205019
MINOS1	NM_001204083
A1CF	NM_001198819
ASCC1	NM_001198799
AGBL1	NM_152336
C15orf27	NM_152335
ACOT4	NM_152331
FRMD6	NM_001267046
SPRY1	NM_005841
UNK	NM_001080419
SERPINE2	NM_001136530
LSM14A	NM_015578
KIAA1671	NM_001145206
CCDC169	NM_001198908
BTBD18	NM_001145101
THYN1	NM_014174
HBG1	NM_000559
HBA1	NM_000558
GDF5	NM_000557
WRN	NM_000553
AMPD3	NM_000480
VEGFA	NM_001025366
MBL2	NM_000242
CABIN1	NM_012295
SERF2	NM_001199875
METTL21B	NM_015433
ZSWIM8	NM_001242488
ZHX3	NM_015035
DZIP1	NM_198968
NBEAL2	NM_015175
PPP6R1	NM_014931
ERGIC2	NM_016570
ZNF510	NM_014930
NDUFS3	NM_004551
SLC6A6	NM_003043
TRAF6	NM_004620
TBX3	NM_016569
MSL3	NM_078629
STIM2	NM_001169118
FOXA2	NM_021784
XBP1	NM_001079539
AKR1B15	NM_001080538
PRKD2	NM_016457
RBFOX3	NM_001082575
MSANTD3-TMEFF1	NM_001198812
LTBP1	NM_206943
SH3BP2	NM_001145856
GPN1	NM_007266
RPTOR	NM_020761
NEB	NM_001271208
LOC100127983	NM_001190972
HDAC8	NM_018486
RHNO1	NM_001252499
PCGF5	NM_032373
SLC52A2	NM_024531
DPYSL5	NM_020134
PSMD9	NM_002813
POLR2G	NM_002696
JAG2	NM_002226
HAND1	NM_004821
EIF3A	NM_003750
ETF1	NM_004730
NUP210L	NM_207308
OR7C1	NM_198944
KIAA1644	NM_001099294
SULF1	NM_015170
XIRP2	NM_152381
STK3	NM_001256312
SUB1	NM_006713
DCTN2	NM_001261412
GNPDA1	NM_005471
ITSN2	NM_006277
SEMA4D	NM_006378
UQCRQ	NM_014402
MAGEA11	NM_005366
UGDH	NM_003359
ZNF195	NM_001130520
LY75-CD302	NM_001198759
SYNPO	NM_001166208
NEIL2	NM_145043
DNAJC7	NM_003315
VAPB	NM_004738
CCNH	NM_001239
POMT1	NM_007171
ZNF566	NM_001145343
DCUN1D4	NM_001040402
ANKLE2	NM_015114
VIM	NM_003380
RIOK3	NM_003831
PTPRD	NM_002839
SET	NM_001122821
NCAPH	NM_015341
ADNP	NM_015339
TGIF2	NM_021809
BRDT	NM_001242806
FAM156A	NM_014138
RIT2	NM_002930
C4orf6	NM_005750
UBE2S	NM_014501
FOXP2	NM_148898
MBD2	NM_003927
RAB30	NM_014488
ZNF330	NM_014487
EIF2B2	NM_014239
ADAM18	NM_014237
SLC19A2	NM_006996
DHRS2	NM_182908
ATG2A	NM_015104
SRP68	NM_014230
DOCK10	NM_014689
COMMD2	NM_016094
SAR1B	NM_016103
PLLP	NM_015993
RPL26L1	NM_016093
CIZ1	NM_001257975
SPHK2	NM_020126
HDAC9	NM_178425
SMAP2	NM_022733
TNFSF15	NM_005118
APOH	NM_000042
OCRL	NM_000276
PPM1G	NM_177983
MBP	NM_001025101
EXOSC9	NM_001034194
TCF7L2	NM_001146274
UBAC2	NM_001144072
CDYL	NM_004824
DDTL	NM_001084393
ARHGEF7	NM_001113511
PDE4DIP	NM_001198834
TRIM22	NM_006074
S100A13	NM_005979
FAM127B	NM_001078172
FAM127A	NM_001078171
KCTD15	NM_001129994
GAREML	NM_001168241
PARVG	NM_022141
JPH4	NM_032452
HERC1	NM_003922
PPP2CA	NM_002715
CEP120	NM_153223
DCLK2	NM_001040261
CD24	NM_013230
DNAI1	NM_012144
HMMR	NM_001142556
MFN2	NM_014874
RAB9B	NM_016370
EXOC3	NM_007277
FILIP1L	NM_182909
TGFB1I1	NM_001042454
BTG3	NM_001130914
FXYD3	NM_001136007
CTDNEP1	NM_015343
PDHA1	NM_001173454
PALM2-AKAP2	NM_007203
HLA-C	NM_002117
FBXO5	NM_012177
KLK11	NM_144947
ATG7	NM_006395
TMEM233	NM_001136534
BEX4	NM_001080425
CCDC85C	NM_001144995
RPH3A	NM_001143854
WIBG	NM_032345
IRGM	NM_001145805
DIS3L	NM_001143688
CALCOCO1	NM_020898
MUC15	NM_001135091
IGSF1	NM_001170961
FFAR4	NM_181745
WNT5B	NM_030775
SPSB2	NM_032641
ADH6	NM_001102470
PTPN21	NM_007039
TMEM167B	NM_020141
XAF1	NM_017523
DNAJC11	NM_018198
UNC79	NM_020818
ITGB4	NM_000213
ZNF707	NM_173831
VGLL2	NM_182645
OR4F5	NM_001005484
SLC2A11	NM_030807
SLC5A10	NM_152351
PRAMEF10	NM_001039361
RCCD1	NM_033544
WBP1L	NM_001083913
TMEM214	NM_017727
FGD3	NM_033086
SMEK2	NM_001122964
USP14	NM_005151
UNC119	NM_005148
HP	NM_005143
GIF	NM_005142
FGB	NM_005141
ANXA3	NM_005139
NLGN4Y	NM_014893
LRCH1	NM_001164211
SCNN1G	NM_001039
CLN3	NM_000086
SMAD3	NM_005902
SMAD2	NM_005901
MIS12	NM_024039
PI4K2A	NM_018425
CAMKMT	NM_024766
PROK2	NM_001126128
ELAC1	NM_018696
IL20	NM_018724
ATP2C2	NM_014861
TRIM56	NM_030961
OR12D3	NM_030959
CHCHD5	NM_032309
C9orf89	NM_032310
C1orf21	NM_030806
RBM26	NM_022118
STMN4	NM_030795
AIFM2	NM_032797
HIST1H3F	NM_021018
FTH1P18	NM_001271682
SLC35A3	NM_001271685
FAM117A	NM_030802
CKAP5	NM_001008938
IGSF5	NM_001080444
MAPKAPK2	NM_032960
KCNH7	NM_033272
UPF3A	NM_023011
UBE2F	NM_080678
HPS3	NM_032383
COG8	NM_032382
PEX16	NM_057174
PRAM1	NM_032152
DUSP4	NM_001394
ENG	NM_001114753
CCT2	NM_006431
GUCY2D	NM_000180
CHRNA7	NM_001190455
CD4	NM_000616
ZNF354C	NM_014594
GPRASP2	NM_138437
ADCYAP1	NM_001099733
ELMOD1	NM_018712
EEF1E1	NM_004280
VEPH1	NM_024621
PRL	NM_000948
SYNRG	NM_007247
LOC646862	NM_001195135
TTC26	NM_024926
GSTO2	NM_183239
ST18	NM_014682
INSL6	NM_007179
STRAP	NM_007178
UCK2	NM_012474
DENND2A	NM_015689
SLC38A7	NM_018231
TBC1D12	NM_015188
RPP38	NM_006414
